Date,*ST盈方000670.SZ,*ST德豪002005.SZ,紫光国微002049.SZ,苏州固锝002079.SZ,中环股份002129.SZ,通富微电002156.SZ,纳思达002180.SZ,华天科技002185.SZ,拓日新能002218.SZ,北方华创002371.SZ,国星光电002449.SZ,协鑫集成002506.SZ,爱康科技002610.SZ,亚玛顿002623.SZ,万润科技002654.SZ,木林森002745.SZ,天龙光电300029.SZ,台基股份300046.SZ,欧比特300053.SZ,国民技术300077.SZ,易成新能300080.SZ,乾照光电300102.SZ,向日葵300111.SZ,东方日升300118.SZ,晓程科技300139.SZ,东软载波300183.SZ,北京君正300223.SZ,瑞丰光电300241.SZ,长方集团300301.SZ,聚飞光电300303.SZ,晶盛机电300316.SZ,华灿光电300323.SZ,中颖电子300327.SZ,南大光电300346.SZ,扬杰科技300373.SZ,艾比森300389.SZ,中来股份300393.SZ,耐威科技300456.SZ,全志科技300458.SZ,富瀚微300613.SZ,捷捷微电300623.SZ,圣邦股份300661.SZ,富满电子300671.SZ,国科微300672.SZ,聚灿光电300708.SZ,捷佳伟创300724.SZ,航天机电600151.SH,上海贝岭600171.SH,华微电子600360.SH,*ST海润600401.SH,士兰微600460.SH,亿晶光电600537.SH,长电科技600584.SH,太极实业600667.SH,三安光电600703.SH,隆基股份601012.SH,京运通601908.SH,晶方科技603005.SH,芯能科技603105.SH,汇顶科技603160.SH,金辰股份603396.SH,韦尔股份603501.SH,福斯特603806.SH,兆易创新603986.SH
2018-04-04,423900338.0000,0.0000,1482265101.0000,216673036.0000,2178200594.0000,269506318.0000,68040689.0000,444582766.0000,25778720.0000,728461042.0000,149750010.0000,97250790.0000,46538976.0000,26884614.0000,69163118.0000,196315902.0000,24282603.0000,105070672.0000,350272417.0000,298244348.0000,0.0000,117902361.0000,12393914.0000,30773375.0000,23857077.0000,130056926.0000,940492980.0000,79696283.0000,24531795.0000,22641428.0000,440780373.0000,353678908.0000,225226832.0000,80945506.0000,229430917.0000,28464515.0000,45141751.0000,130175063.0000,195339773.0000,213932412.0000,136505103.0000,86995790.0000,156800292.0000,616844841.0000,517446103.0000,0.0000,183130265.0000,572124105.0000,549751837.0000,0.0000,1046132837.0000,20442446.0000,681799154.0000,227803877.0000,1463916624.0000,847204198.0000,18400296.0000,154064002.0000,0.0000,148821507.0000,88676844.0000,190933422.0000,34906126.0000,911755528.0000
2018-04-09,403366964.0000,0.0000,2196037082.0000,164250991.0000,1349116810.0000,230095654.0000,58569789.0000,267298164.0000,102059530.0000,670413157.0000,128117658.0000,111643620.0000,47373139.0000,20172518.0000,63410314.0000,152338308.0000,14314253.0000,72541753.0000,621278552.0000,240406506.0000,0.0000,165988443.0000,20033151.0000,30974111.0000,23492900.0000,197088696.0000,625365977.0000,89527475.0000,21929242.0000,149043339.0000,351103604.0000,177573785.0000,177489406.0000,67270257.0000,177062501.0000,32206774.0000,20636294.0000,203750818.0000,253776342.0000,129628576.0000,161611669.0000,91363390.0000,109679427.0000,418879249.0000,512508106.0000,0.0000,79313180.0000,434730532.0000,427652011.0000,0.0000,793965870.0000,44150001.0000,612556611.0000,202855546.0000,927902970.0000,404243660.0000,22103917.0000,103674354.0000,0.0000,124273611.0000,250892060.0000,137949779.0000,27246168.0000,738324238.0000
2018-04-10,303119584.0000,0.0000,1341844598.0000,150273692.0000,1191493785.0000,194160822.0000,43511891.0000,304365044.0000,63033817.0000,615168752.0000,203458871.0000,68296370.0000,45020399.0000,21671608.0000,42050383.0000,205797630.0000,30864963.0000,77987773.0000,405646162.0000,210494223.0000,0.0000,121400154.0000,17461293.0000,74312444.0000,42423322.0000,171008243.0000,488518324.0000,108359442.0000,20388701.0000,109616229.0000,418260980.0000,164324841.0000,165423692.0000,53062552.0000,220535655.0000,21698694.0000,14987886.0000,142434875.0000,343639657.0000,276525573.0000,136028010.0000,199148832.0000,214203017.0000,335959946.0000,402165740.0000,0.0000,57263269.0000,363612473.0000,346471586.0000,0.0000,708824571.0000,22641367.0000,598264923.0000,160799001.0000,1069355335.0000,351260523.0000,16230241.0000,110562002.0000,0.0000,141393326.0000,145510165.0000,249801510.0000,24368060.0000,892218292.0000
2018-04-11,205560020.0000,0.0000,1216918078.0000,111278414.0000,743342186.0000,231063000.0000,112019329.0000,260905930.0000,35986036.0000,529164344.0000,136067930.0000,162241109.0000,77489494.0000,17031516.0000,39429829.0000,195957718.0000,12501052.0000,115651365.0000,295944206.0000,176419551.0000,0.0000,102564984.0000,9577525.0000,40416274.0000,29159761.0000,264597048.0000,378415278.0000,67276260.0000,11425697.0000,111779383.0000,362415420.0000,200922142.0000,165881956.0000,50719946.0000,201810477.0000,36083918.0000,33556907.0000,84109404.0000,184364600.0000,113868794.0000,211298523.0000,88239429.0000,430687372.0000,230194670.0000,326704838.0000,0.0000,64465799.0000,378732125.0000,337161415.0000,0.0000,751207022.0000,16592835.0000,569434382.0000,169105095.0000,1321496562.0000,358793276.0000,25062331.0000,86420854.0000,0.0000,148035356.0000,88035771.0000,154355021.0000,24282347.0000,498989907.0000
2018-04-12,145251468.0000,0.0000,1342842520.0000,111168050.0000,582920106.0000,203157076.0000,67059776.0000,213808471.0000,30693063.0000,533174467.0000,108826364.0000,70929917.0000,49126810.0000,11979823.0000,100798800.0000,175073120.0000,9478129.0000,79115749.0000,191799262.0000,155208553.0000,0.0000,103940640.0000,13226250.0000,39360770.0000,20533250.0000,236560490.0000,343070037.0000,56728776.0000,10889531.0000,64798947.0000,307078254.0000,143323091.0000,134111286.0000,49337623.0000,140748047.0000,19182642.0000,14804807.0000,58243924.0000,151927529.0000,137795994.0000,360729250.0000,108380508.0000,287882101.0000,195296593.0000,938544428.0000,0.0000,48253132.0000,352522602.0000,277892897.0000,0.0000,642969933.0000,14147316.0000,769790165.0000,453659667.0000,1004060029.0000,433596350.0000,19534991.0000,92943088.0000,0.0000,111677273.0000,70009666.0000,152444170.0000,26976143.0000,828962150.0000
2018-04-13,211890886.0000,0.0000,1209056959.0000,121678920.0000,855308698.0000,163632974.0000,47145245.0000,311283789.0000,21442435.0000,712334086.0000,79358011.0000,72929386.0000,37858101.0000,21811091.0000,60079450.0000,103367587.0000,10801474.0000,121374593.0000,168684813.0000,287895732.0000,0.0000,188320340.0000,11801784.0000,39044743.0000,19283654.0000,117294331.0000,270699547.0000,56632026.0000,9996522.0000,46590815.0000,276743674.0000,110270587.0000,130974520.0000,27171358.0000,254449342.0000,27124956.0000,28974927.0000,79947465.0000,231741102.0000,93141580.0000,232538922.0000,101448773.0000,169287778.0000,274429320.0000,619892263.0000,0.0000,28137013.0000,384514964.0000,279744035.0000,0.0000,512710229.0000,11622225.0000,854252089.0000,635692593.0000,610322186.0000,313503677.0000,18991367.0000,89190517.0000,0.0000,91686571.0000,46486993.0000,124779112.0000,41986089.0000,792463977.0000
2018-04-16,186466220.0000,0.0000,1658735406.0000,229353266.0000,1017671882.0000,788881580.0000,225889821.0000,633308672.0000,26203788.0000,831130149.0000,164078089.0000,112396615.0000,49080219.0000,15272704.0000,41601694.0000,139162022.0000,10610334.0000,110452342.0000,322558567.0000,201798159.0000,0.0000,140709128.0000,17172894.0000,42653344.0000,21541182.0000,115830256.0000,214209585.0000,50503492.0000,19823008.0000,63446312.0000,478204798.0000,187824627.0000,120645911.0000,32784137.0000,191261335.0000,52375988.0000,27447895.0000,89350839.0000,161435643.0000,84648307.0000,165197037.0000,70461258.0000,148350146.0000,187479960.0000,455182614.0000,0.0000,43590465.0000,490323051.0000,252467912.0000,0.0000,776821236.0000,17425331.0000,1245808609.0000,517141914.0000,752878787.0000,544678587.0000,18065527.0000,133925861.0000,0.0000,90067889.0000,36088742.0000,98637771.0000,35282189.0000,957406925.0000
2018-04-17,396706176.0000,0.0000,2476787612.0000,215761862.0000,1241684678.0000,643107189.0000,201094886.0000,486729963.0000,26373773.0000,1197878587.0000,238053502.0000,189663942.0000,37324675.0000,46160348.0000,50015561.0000,95593288.0000,15872583.0000,116343384.0000,324993797.0000,351041035.0000,0.0000,165000134.0000,11640303.0000,41842595.0000,18445090.0000,240897873.0000,514490759.0000,64366585.0000,17762496.0000,33076799.0000,750279029.0000,213117812.0000,334982639.0000,96801925.0000,314670450.0000,57722070.0000,29325871.0000,92958671.0000,300408877.0000,259893117.0000,172621257.0000,153379213.0000,189988584.0000,365039166.0000,555976898.0000,0.0000,57043072.0000,602940868.0000,337834990.0000,0.0000,1305278027.0000,15746874.0000,1276636625.0000,456083931.0000,1378320664.0000,560988077.0000,18957157.0000,150428216.0000,0.0000,167843937.0000,49336572.0000,178354825.0000,18075357.0000,1486772932.0000
2018-04-18,734707916.0000,0.0000,4221434197.0000,543108014.0000,1929980286.0000,1172515531.0000,353857154.0000,1418163217.0000,42553072.0000,1221517658.0000,294220181.0000,96463726.0000,49801074.0000,44980080.0000,48322168.0000,170305038.0000,18155030.0000,172290396.0000,770784063.0000,250108427.0000,0.0000,367664647.0000,17135580.0000,71790379.0000,72654678.0000,262384330.0000,721104664.0000,114487277.0000,22502029.0000,40408862.0000,797472572.0000,341145700.0000,442818020.0000,140022269.0000,476853572.0000,62294225.0000,35243559.0000,166617729.0000,445767285.0000,425765580.0000,322380099.0000,241414482.0000,225979274.0000,562964462.0000,927680696.0000,0.0000,61272403.0000,1674712382.0000,892509077.0000,0.0000,3181686169.0000,16986086.0000,2065110702.0000,797632786.0000,2098748423.0000,1020606927.0000,18553522.0000,368152735.0000,0.0000,523769273.0000,54213564.0000,462114470.0000,39131883.0000,1669298558.0000
2018-04-19,726671041.0000,0.0000,5895683554.0000,375705222.0000,2942407691.0000,596460368.0000,626092146.0000,847546993.0000,77885021.0000,1916032642.0000,224733461.0000,91873151.0000,41863486.0000,20643437.0000,42053102.0000,130980405.0000,20206400.0000,436311372.0000,741724893.0000,238147415.0000,0.0000,309402344.0000,9644908.0000,45131300.0000,103234386.0000,202606309.0000,517093462.0000,79909812.0000,16507140.0000,69688088.0000,986357449.0000,293825157.0000,437102890.0000,123321850.0000,350999399.0000,57144205.0000,47789933.0000,196011264.0000,341360239.0000,421267796.0000,443078750.0000,268936082.0000,201514368.0000,438624343.0000,682472257.0000,0.0000,66242662.0000,1219728110.0000,815051652.0000,0.0000,2212662967.0000,19373912.0000,1549339238.0000,594475457.0000,1965888280.0000,1197536229.0000,47837104.0000,442025546.0000,0.0000,393129691.0000,93515277.0000,303339230.0000,23294849.0000,1725710025.0000
2018-04-20,787368893.0000,0.0000,5569657533.0000,546892622.0000,0.0000,494536880.0000,488309334.0000,1421941716.0000,82923229.0000,1615246356.0000,230385620.0000,214828546.0000,45870477.0000,17842185.0000,53648904.0000,110002739.0000,21803322.0000,291652106.0000,685332606.0000,1826405681.0000,0.0000,383822084.0000,15758741.0000,48193555.0000,146956735.0000,145489067.0000,559857234.0000,91405133.0000,17878376.0000,42389812.0000,499642680.0000,257497301.0000,399575582.0000,132276627.0000,226926330.0000,32893458.0000,61091939.0000,181430744.0000,315787370.0000,477332260.0000,411125917.0000,190173576.0000,225448813.0000,274645923.0000,521135035.0000,0.0000,52371786.0000,1296972085.0000,698840451.0000,0.0000,2112051635.0000,22641264.0000,1458165454.0000,692410982.0000,2363914524.0000,532954409.0000,27598808.0000,434868951.0000,0.0000,1041952840.0000,55715359.0000,217993771.0000,29102393.0000,1821907557.0000
2018-04-23,516226003.0000,0.0000,4891031214.0000,336132527.0000,0.0000,558990243.0000,397544663.0000,1635080272.0000,69435333.0000,1409247412.0000,243868962.0000,113434139.0000,40267732.0000,12137773.0000,40595811.0000,143265945.0000,15956078.0000,196800652.0000,476816229.0000,1906906341.0000,0.0000,243686402.0000,12659950.0000,28527746.0000,94963699.0000,176340868.0000,410776892.0000,83802918.0000,16730774.0000,34595513.0000,704729483.0000,248093746.0000,333191519.0000,88340164.0000,333307852.0000,46575061.0000,44595002.0000,140907375.0000,289370311.0000,369960943.0000,300196766.0000,180075117.0000,153957910.0000,326196793.0000,311188414.0000,0.0000,65570037.0000,961807251.0000,457915818.0000,0.0000,1445981084.0000,17686367.0000,1651783328.0000,537798661.0000,1146872492.0000,686529118.0000,43103402.0000,281930129.0000,0.0000,1091283274.0000,97231426.0000,240895368.0000,43287440.0000,1304092808.0000
2018-04-24,469976827.0000,0.0000,3901630882.0000,328889786.0000,0.0000,554911031.0000,229882148.0000,943301397.0000,68292652.0000,1140476694.0000,161724370.0000,102082938.0000,42816395.0000,16243837.0000,66027167.0000,188611009.0000,10322781.0000,149488005.0000,606381300.0000,1886592351.0000,0.0000,263190714.0000,13525291.0000,30280133.0000,97587521.0000,140697900.0000,513041639.0000,64628492.0000,12886568.0000,53915425.0000,574149199.0000,171024040.0000,342205010.0000,138996361.0000,259584005.0000,39877936.0000,44926659.0000,146020190.0000,209814742.0000,249914759.0000,351454229.0000,142922465.0000,260194492.0000,216046665.0000,218778120.0000,0.0000,67010987.0000,1112393427.0000,360059291.0000,0.0000,1177840731.0000,15687692.0000,1919209207.0000,569985966.0000,1274816348.0000,816338645.0000,31380477.0000,283947248.0000,0.0000,727244396.0000,111922425.0000,175853332.0000,41452601.0000,988896826.0000
2018-04-25,365867794.0000,0.0000,3527330540.0000,272103195.0000,0.0000,394669629.0000,256113557.0000,1061862260.0000,54094030.0000,1105663106.0000,193988699.0000,107982535.0000,48198866.0000,25033653.0000,105338692.0000,191378756.0000,9967434.0000,311276157.0000,588164246.0000,2119048261.0000,0.0000,237021519.0000,11947905.0000,28724588.0000,102547218.0000,104815384.0000,404322438.0000,112021016.0000,7815147.0000,73978001.0000,522745401.0000,216903852.0000,247369513.0000,89412894.0000,251788393.0000,36798362.0000,39092819.0000,127007797.0000,203776700.0000,275067267.0000,279956357.0000,129931200.0000,207498306.0000,182250571.0000,220557729.0000,0.0000,52703248.0000,836467074.0000,306502299.0000,0.0000,783087467.0000,17493240.0000,1333357032.0000,360185079.0000,2382045839.0000,417014066.0000,27103761.0000,316670756.0000,0.0000,524991542.0000,101840444.0000,187929907.0000,20346628.0000,1110550125.0000
2018-04-26,460862389.0000,0.0000,3103882225.0000,229675422.0000,0.0000,483529586.0000,262347208.0000,704272001.0000,32927991.0000,1202516436.0000,176813559.0000,123311279.0000,44032396.0000,29864170.0000,62571569.0000,118828678.0000,10381606.0000,309902759.0000,463802703.0000,1264052810.0000,0.0000,197005595.0000,19060967.0000,35005064.0000,32262948.0000,100631505.0000,634016862.0000,83164452.0000,9372677.0000,47676306.0000,557254726.0000,320100106.0000,255065514.0000,107241562.0000,243404755.0000,64710931.0000,35596578.0000,149552616.0000,352130236.0000,225814724.0000,233471327.0000,136294425.0000,225981421.0000,200172440.0000,211361246.0000,0.0000,155770158.0000,775196209.0000,404243087.0000,0.0000,2080776157.0000,20468141.0000,1300378510.0000,385662221.0000,2879993063.0000,534716938.0000,37916892.0000,217190133.0000,0.0000,749262710.0000,63159082.0000,199132521.0000,12711991.0000,1097701072.0000
2018-04-27,321236543.0000,0.0000,3511204446.0000,243953704.0000,0.0000,454022977.0000,150451274.0000,488565371.0000,36016331.0000,1141307362.0000,82973058.0000,0.0000,33481703.0000,32260966.0000,55968916.0000,142760626.0000,9670194.0000,303305634.0000,404134903.0000,1238367473.0000,0.0000,173661562.0000,14381359.0000,25840047.0000,416462164.0000,91779396.0000,465005891.0000,124633594.0000,8731404.0000,35137077.0000,433245440.0000,143205374.0000,181022132.0000,76566463.0000,175827719.0000,52911822.0000,25634648.0000,92804270.0000,222585221.0000,324239885.0000,194599023.0000,141951790.0000,154993268.0000,199619112.0000,177238673.0000,0.0000,77221278.0000,786366533.0000,264146607.0000,0.0000,1329368056.0000,14118608.0000,1032113785.0000,372413878.0000,1549487462.0000,444230919.0000,28251806.0000,201001804.0000,0.0000,110612913.0000,57584362.0000,134104218.0000,10875485.0000,1192514475.0000
2018-05-02,231036251.0000,0.0000,2015952687.0000,137349547.0000,0.0000,414469350.0000,109835735.0000,412748222.0000,29292092.0000,748027657.0000,107947115.0000,0.0000,30195441.0000,27589663.0000,95988666.0000,119620155.0000,10791458.0000,234160356.0000,331380630.0000,741636214.0000,0.0000,146014193.0000,21064075.0000,51989899.0000,208525677.0000,120333578.0000,256699698.0000,43325059.0000,8407013.0000,31098241.0000,334919190.0000,122954834.0000,160695884.0000,105882200.0000,285843444.0000,42438582.0000,13922445.0000,98816967.0000,144685776.0000,140039164.0000,127902717.0000,116046275.0000,119526891.0000,126061993.0000,103104147.0000,0.0000,72990041.0000,516942543.0000,247657002.0000,0.0000,779585133.0000,18007023.0000,1584473950.0000,194323875.0000,1201617425.0000,610397564.0000,101103757.0000,236885623.0000,0.0000,73556196.0000,35545606.0000,108953555.0000,37998972.0000,770217733.0000
